model,teams,clip_id,clip_path,label_path,meta_path,kind,reason,start_sec,end_sec,latency_ms,prompt_tokens,completion_tokens,json_valid,scene_type,score_detected,match_clock_detected,confidence,event_candidates_json,expected_score,expected_clock,score_exact_match,clock_exact_match,clock_minute_match,predicted_strong_event,error,raw_content
Qwen2.5-VL-7B-Instruct-4bit,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__001,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__001.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__001.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__001.json,event,"ratio_re,ior_reh,ior_rec,ratio_rouo,ior_rouh,ior_rouc",8.479,21.479,2684.8,3011,0,False,,,,,,1-1,66:10,False,False,False,False,json_parse_error:Expecting value: line 1 column 1 (char 0),
Qwen2.5-VL-7B-Instruct-4bit,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__002,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__002.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__002.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__002.json,event,"ior_rouh,ior_rouc",42.819,55.819,1832.22,3011,0,False,,,,,,1-1,66:45,False,False,False,False,json_parse_error:Expecting value: line 1 column 1 (char 0),
Qwen2.5-VL-7B-Instruct-4bit,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__003,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__003.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__003.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__003.json,event,"ior_rouh,ior_rouc",66.554,79.554,1812.16,3011,0,False,,,,,,1-1,67:09,False,False,False,False,json_parse_error:Expecting value: line 1 column 1 (char 0),
Qwen2.5-VL-7B-Instruct-4bit,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__004,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__004.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__004.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__004.json,event,"ior_rouh,ior_rouc",99.704,112.704,5064.44,3011,112,True,live_play,,,0.8,"[{""label"": ""dangerous_attack"", ""confidence"": 0.7}, {""label"": ""substitution"", ""confidence"": 0.6}]",1-1,67:41,False,False,False,True,,"```json
{
  ""scene_type"": ""live_play"",
  ""score_detected"": """",
  ""match_clock_detected"": """",
  ""event_candidates"": [
    {
      ""label"": ""dangerous_attack"",
      ""confidence"": 0.7
    },
    {
      ""label"": ""substitution"",
      ""confidence"": 0.6
    }
  ],
  ""confidence"": 0.8,
  ""explanation_short"": ""球员正在激烈地争夺足球，可能即将发生危险进攻或换人。""
}
```"
Qwen2.5-VL-7B-Instruct-4bit,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__005,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__005.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__005.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__005.json,event,"ior_reh,ior_rec",141.761,154.761,4980.05,3011,106,True,live_play,,,0.8,"[{""label"": ""dangerous_attack"", ""confidence"": 0.8}, {""label"": ""substitution"", ""confidence"": 0.7}]",1-1,68:26,False,False,False,True,,"```json
{
  ""scene_type"": ""live_play"",
  ""score_detected"": """",
  ""match_clock_detected"": """",
  ""event_candidates"": [
    {
      ""label"": ""dangerous_attack"",
      ""confidence"": 0.8
    },
    {
      ""label"": ""substitution"",
      ""confidence"": 0.7
    }
  ],
  ""confidence"": 0.8,
  ""explanation_short"": ""球员正在进攻，可能有换人动作。""
}
```"
Qwen2.5-VL-7B-Instruct-4bit,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__006,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__006.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__006.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__006.json,event,"ior_reh,ior_rec",165.853,178.853,5148.78,3011,123,True,live_play,,,0.8,"[{""label"": ""dangerous_attack"", ""confidence"": 0.8}, {""label"": ""injury_or_stoppage"", ""confidence"": 0.7}]",1-1,68:53,False,False,False,True,,"```json
{
  ""scene_type"": ""live_play"",
  ""score_detected"": """",
  ""match_clock_detected"": """",
  ""event_candidates"": [
    {
      ""label"": ""dangerous_attack"",
      ""confidence"": 0.8
    },
    {
      ""label"": ""injury_or_stoppage"",
      ""confidence"": 0.7
    }
  ],
  ""confidence"": 0.8,
  ""explanation_short"": ""一名球员倒地，可能是因为受伤或被对手铲倒，另一名球员正在尝试夺回球权。""
}
```"
Qwen2.5-VL-7B-Instruct-4bit,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__007,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__007.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__007.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__007.json,event,"ior_rouh,ior_rouc",191.077,204.077,4951.99,3011,109,True,live_play,,,0.8,"[{""label"": ""celebration"", ""confidence"": 0.8}, {""label"": ""dangerous_attack"", ""confidence"": 0.7}]",1-1,69:08,False,False,False,True,,"```json
{
  ""scene_type"": ""live_play"",
  ""score_detected"": """",
  ""match_clock_detected"": """",
  ""event_candidates"": [
    {
      ""label"": ""celebration"",
      ""confidence"": 0.8
    },
    {
      ""label"": ""dangerous_attack"",
      ""confidence"": 0.7
    }
  ],
  ""confidence"": 0.8,
  ""explanation_short"": ""球员正在庆祝进球，同时有危险进攻的迹象。""
}
```"
Qwen2.5-VL-7B-Instruct-4bit,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__008,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__008.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__008.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__008.json,event,"ior_reh,ior_rec,ior_rouh,ior_rouc",223.244,236.244,5039.69,3011,112,True,live_play,,,0.9,"[{""label"": ""dangerous_attack"", ""confidence"": 0.8}, {""label"": ""substitution"", ""confidence"": 0.7}]",1-1,69:45,False,False,False,True,,"```json
{
  ""scene_type"": ""live_play"",
  ""score_detected"": """",
  ""match_clock_detected"": """",
  ""event_candidates"": [
    {
      ""label"": ""dangerous_attack"",
      ""confidence"": 0.8
    },
    {
      ""label"": ""substitution"",
      ""confidence"": 0.7
    }
  ],
  ""confidence"": 0.9,
  ""explanation_short"": ""球员正在进攻，裁判在场边观察，可能有换人动作。""
}
```"
Qwen2.5-VL-7B-Instruct-4bit,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__009,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__009.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__009.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__009.json,event,"ior_reh,ior_rec",255.059,268.059,5036.17,3011,108,True,live_play,,,0.8,"[{""label"": ""dangerous_attack"", ""confidence"": 0.7}, {""label"": ""substitution"", ""confidence"": 0.6}]",1-1,70:23,False,False,False,True,,"```json
{
  ""scene_type"": ""live_play"",
  ""score_detected"": """",
  ""match_clock_detected"": """",
  ""event_candidates"": [
    {
      ""label"": ""dangerous_attack"",
      ""confidence"": 0.7
    },
    {
      ""label"": ""substitution"",
      ""confidence"": 0.6
    }
  ],
  ""confidence"": 0.8,
  ""explanation_short"": ""球员正在积极进攻，可能有换人即将发生。""
}
```"
Qwen2.5-VL-7B-Instruct-4bit,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__010,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__010.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__010.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__010.json,event,"ior_reh,ior_rec",279.327,292.327,4998.29,3011,105,True,live_play,,,0.8,"[{""label"": ""dangerous_attack"", ""confidence"": 0.7}, {""label"": ""substitution"", ""confidence"": 0.6}]",1-1,70:49,False,False,False,True,,"```json
{
  ""scene_type"": ""live_play"",
  ""score_detected"": """",
  ""match_clock_detected"": """",
  ""event_candidates"": [
    {
      ""label"": ""dangerous_attack"",
      ""confidence"": 0.7
    },
    {
      ""label"": ""substitution"",
      ""confidence"": 0.6
    }
  ],
  ""confidence"": 0.8,
  ""explanation_short"": ""球员在进攻，可能有换人动作""
}
```"
