model,teams,clip_id,clip_path,label_path,meta_path,kind,reason,start_sec,end_sec,latency_ms,prompt_tokens,completion_tokens,json_valid,scene_type,score_detected,match_clock_detected,confidence,event_candidates_json,expected_score,expected_clock,score_exact_match,clock_exact_match,clock_minute_match,predicted_strong_event,error,raw_content
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__001,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__001.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__001.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__001.json,event,"ratio_re,ior_reh,ior_rec,ratio_rouo,ior_rouh,ior_rouc",8.479,21.479,5452.33,2338,141,True,replay,,,0.82,"[{""label"": ""celebration"", ""confidence"": 0.85}, {""label"": ""replay_sequence"", ""confidence"": 0.75}]",1-1,66:10,False,False,False,True,,"{
  ""scene_type"": ""replay"",
  ""score_detected"": """",
  ""match_clock_detected"": """",
  ""event_candidates"": [
    {
      ""label"": ""celebration"",
      ""confidence"": 0.85
    },
    {
      ""label"": ""replay_sequence"",
      ""confidence"": 0.75
    }
  ],
  ""confidence"": 0.82,
  ""explanation_short"": ""The sequence shows a player in a white jersey (number 18) celebrating, likely after a goal, with a replay ball graphic visible in the background.""
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__002,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__002.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__002.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__002.json,event,"ior_rouh,ior_rouc",42.819,55.819,4336.48,2338,141,True,live_play,,,0.8,"[{""label"": ""dangerous_attack"", ""confidence"": 0.85}, {""label"": ""none"", ""confidence"": 0.5}]",1-1,66:45,False,False,False,True,,"{
  ""scene_type"": ""live_play"",
  ""score_detected"": """",
  ""match_clock_detected"": """",
  ""event_candidates"": [
    {
      ""label"": ""dangerous_attack"",
      ""confidence"": 0.85
    },
    {
      ""label"": ""none"",
      ""confidence"": 0.5
    }
  ],
  ""confidence"": 0.8,
  ""explanation_short"": ""The sequence shows continuous live play with the ball moving from midfield towards the attacking third. Players are actively running and positioning, suggesting a developing attack rather than a set piece or celebration.""
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__003,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__003.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__003.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__003.json,event,"ior_rouh,ior_rouc",66.554,79.554,4497.35,2338,157,True,live_play,,,0.8,"[{""label"": ""dangerous_attack"", ""confidence"": 0.85}, {""label"": ""none"", ""confidence"": 0.5}]",1-1,67:09,False,False,False,True,,"{
  ""scene_type"": ""live_play"",
  ""score_detected"": """",
  ""match_clock_detected"": """",
  ""event_candidates"": [
    {
      ""label"": ""dangerous_attack"",
      ""confidence"": 0.85
    },
    {
      ""label"": ""none"",
      ""confidence"": 0.5
    }
  ],
  ""confidence"": 0.8,
  ""explanation_short"": ""The sequence shows a continuous live play where the team in red and blue is attacking, moving the ball from the midfield towards the opponent's penalty area. There are no clear goals, cards, or substitutions shown in these frames, just fluid movement and positioning changes.""
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__004,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__004.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__004.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__004.json,event,"ior_rouh,ior_rouc",99.704,112.704,4164.82,2338,125,True,live_play,,,0.8,"[{""label"": ""dangerous_attack"", ""confidence"": 0.85}, {""label"": ""none"", ""confidence"": 0.5}]",1-1,67:41,False,False,False,True,,"{
  ""scene_type"": ""live_play"",
  ""score_detected"": """",
  ""match_clock_detected"": """",
  ""event_candidates"": [
    {
      ""label"": ""dangerous_attack"",
      ""confidence"": 0.85
    },
    {
      ""label"": ""none"",
      ""confidence"": 0.5
    }
  ],
  ""confidence"": 0.8,
  ""explanation_short"": ""Live play showing attacking phase with players spread across the pitch, no clear goal or major event yet.""
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__005,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__005.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__005.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__005.json,event,"ior_reh,ior_rec",141.761,154.761,4300.0,2338,141,True,live_play,,,0.82,"[{""label"": ""dangerous_attack"", ""confidence"": 0.85}, {""label"": ""none"", ""confidence"": 0.5}]",1-1,68:26,False,False,False,True,,"{
  ""scene_type"": ""live_play"",
  ""score_detected"": """",
  ""match_clock_detected"": """",
  ""event_candidates"": [
    {
      ""label"": ""dangerous_attack"",
      ""confidence"": 0.85
    },
    {
      ""label"": ""none"",
      ""confidence"": 0.5
    }
  ],
  ""confidence"": 0.82,
  ""explanation_short"": ""The sequence shows a continuous attacking play developing from the midfield towards the goal, with players in motion and positioning shifting, indicating live gameplay rather than a static scoreboard or replay summary.""
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__006,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__006.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__006.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__006.json,event,"ior_reh,ior_rec",165.853,178.853,4310.59,2338,146,True,replay,1-0,67:14,0.85,"[{""label"": ""goal"", ""confidence"": 0.9}, {""label"": ""injury_or_stoppage"", ""confidence"": 0.7}]",1-1,68:53,False,False,False,True,,"{
  ""scene_type"": ""replay"",
  ""score_detected"": ""1-0"",
  ""match_clock_detected"": ""67:14"",
  ""event_candidates"": [
    {
      ""label"": ""goal"",
      ""confidence"": 0.9
    },
    {
      ""label"": ""injury_or_stoppage"",
      ""confidence"": 0.7
    }
  ],
  ""confidence"": 0.85,
  ""explanation_short"": ""The sequence shows a goal being scored, followed by a player lying on the ground in celebration or exhaustion, suggesting a replay of a goal event.""
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__007,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__007.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__007.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__007.json,event,"ior_rouh,ior_rouc",191.077,204.077,4367.51,2338,152,True,replay,1-0,67:14,0.88,"[{""label"": ""goal"", ""confidence"": 0.9}, {""label"": ""celebration"", ""confidence"": 0.85}]",1-1,69:08,False,False,False,True,,"{
  ""scene_type"": ""replay"",
  ""score_detected"": ""1-0"",
  ""match_clock_detected"": ""67:14"",
  ""event_candidates"": [
    {
      ""label"": ""goal"",
      ""confidence"": 0.9
    },
    {
      ""label"": ""celebration"",
      ""confidence"": 0.85
    }
  ],
  ""confidence"": 0.88,
  ""explanation_short"": ""The sequence shows a goal being scored, followed by a close-up of the scorer celebrating with hands raised, and then bending over in exhaustion or joy, typical of a goal replay.""
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__008,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__008.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__008.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__008.json,event,"ior_reh,ior_rec,ior_rouh,ior_rouc",223.244,236.244,4566.35,2338,163,True,live_play,1-0,67:14,0.88,"[{""label"": ""goal"", ""confidence"": 0.85}, {""label"": ""celebration"", ""confidence"": 0.75}, {""label"": ""none"", ""confidence"": 0.5}]",1-1,69:45,False,False,False,True,,"{
  ""scene_type"": ""live_play"",
  ""score_detected"": ""1-0"",
  ""match_clock_detected"": ""67:14"",
  ""event_candidates"": [
    {
      ""label"": ""goal"",
      ""confidence"": 0.85
    },
    {
      ""label"": ""celebration"",
      ""confidence"": 0.75
    },
    {
      ""label"": ""none"",
      ""confidence"": 0.5
    }
  ],
  ""confidence"": 0.88,
  ""explanation_short"": ""The sequence shows a goal being scored, followed by player celebrations and a wide shot of the field as play resumes.""
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__009,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__009.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__009.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__009.json,event,"ior_reh,ior_rec",255.059,268.059,4494.87,2338,157,True,live_play,,,0.82,"[{""label"": ""dangerous_attack"", ""confidence"": 0.85}, {""label"": ""none"", ""confidence"": 0.5}]",1-1,70:23,False,False,False,True,,"{
  ""scene_type"": ""live_play"",
  ""score_detected"": """",
  ""match_clock_detected"": """",
  ""event_candidates"": [
    {
      ""label"": ""dangerous_attack"",
      ""confidence"": 0.85
    },
    {
      ""label"": ""none"",
      ""confidence"": 0.5
    }
  ],
  ""confidence"": 0.82,
  ""explanation_short"": ""The sequence shows a continuous live play action, likely a dangerous attack or goal-scoring opportunity developing, with players moving dynamically across the pitch. No clear goal, red card, or substitution is confirmed in these frames, and no scoreboard or clock is visible.""
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__010,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__010.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__010.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__010.json,event,"ior_reh,ior_rec",279.327,292.327,4536.62,2338,161,True,live_play,,,0.82,"[{""label"": ""dangerous_attack"", ""confidence"": 0.85}, {""label"": ""none"", ""confidence"": 0.15}]",1-1,70:49,False,False,False,True,,"{
  ""scene_type"": ""live_play"",
  ""score_detected"": """",
  ""match_clock_detected"": """",
  ""event_candidates"": [
    {
      ""label"": ""dangerous_attack"",
      ""confidence"": 0.85
    },
    {
      ""label"": ""none"",
      ""confidence"": 0.15
    }
  ],
  ""confidence"": 0.82,
  ""explanation_short"": ""The sequence shows a continuous flow of play from left to right, with players in red and white jerseys moving the ball up the field. There are no clear goal celebrations, red cards, or substitutions happening in these frames, suggesting a standard attacking phase or build-up play.""
}"
